title,IMDBid,year,summary,maturity,type,new to uNoGS,runtime,#1,#2,#3,#4,#5,#6,#7,#8,#9,#10,#11,#12,#13,#14,#15,#16,#17,#18,#19,#20,#21,#22
Face Off,tt1663641,2015,"After unearthing diamonds in the wilderness, a man is hunted by a murderous gang and must outrun them with the help of a newfound friend.",Recommended for ages 13 and up,movie,2023/8/28,1h34m59s,,,,,,,,,,,,,,,,,,,,,,
Crane World,tt0213905,1999,"After losing his job as a crane operator, a 50-year-old grapples with an unpleasant new workplace and his precarious position in a changing world.",Recommended for all audiences,movie,2023/8/18,1h32m25s,Argentinian,Drama Movies,,,,,,,,,,,,,,,,,,,,
Roja,tt0105271,1992,"After marrying intelligence expert Rishi, Roja’s simple life takes a devastating turn when her husband is kidnapped by separatists in Kashmir.",Parents strongly cautioned. May not be suitable for ages under 14.,movie,2023/8/15,2h17m40s,,,,,,,,,,,,,,,,,,,,,,
Ugly Betty,tt0805669,2009,"An aspiring writer works her way up the ladder at a fashion magazine, despite her quirky wardrobe choices and doubting coworkers.",Parents strongly cautioned. May not be suitable for ages under 14.,series,2023/8/1,,Sitcoms,Comedy Programmes,LGBTQ TV Programmes,,,,,,,,,,,,,,,,,,,
Extreme Makeover: Home Edition,tt0388595,2007,The homes — and lives — of families facing hardship are transformed in one week with the help of a design team and volunteers in this reality series.,Parental Guidance suggested,series,2023/7/21,,Reality TV,Makeover Reality TV,Home & Garden Reality TV,Lifestyle,,,,,,,,,,,,,,,,,,
Pandurangadu,tt1285131,2008,"Based on a Hindu legend, Pundarik is a two-timing scoundrel who disgraces his wife and parents until Lord Krishna teaches him about loyalty and honor.",Parental Guidance suggested,movie,2023/6/21,2h35m42s,Drama Films,Comedy Films,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,,,
Sindhooram,tt21935486,1997,"A headstrong young man joins the police to fight injustice, but when corrupt officials label him a terrorist he takes the law into his own hands.",Not suitable for ages under 16,movie,2023/6/21,2h33m49s,Action & Adventure Films,Social Issue Dramas,Drama Films,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,,
Tom and Jerry Tales,tt0780438,2007,Chaotic cat-and-mouse duo Tom and Jerry are up to their old tricks — setting traps and causing trouble — in this reboot of the classic franchise.,Suitable for ages 7 and up,series,2023/6/12,,Comedy Programmes,TV Cartoons,Kids' TV,,,,,,,,,,,,,,,,,,,
Srimannarayana,tt2227430,2012,"When a crusading journalist is falsely accused of stealing funds his father raised to help farmers, he must prove his innocence and exact revenge.",For Mature Audiences.,movie,2023/6/9,2h17m,Action & Adventure Films,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,,,,
David (Telugu),tt2358412,2013,"Living in different times and places, two men of the same name navigating similar issues of family, love and duty end up having their lives intertwined.",Not suitable for ages under 16,movie,2023/6/2,1h58m42s,Drama Films,Romantic Films,Tamil-language Films,Indian,,,,,,,,,,,,,,,,,,
Ramayya Vasthavayya,tt2856674,2013,"Fun-loving Nandu would do anything to conquer the heart of the woman he loves, but dark secrets threaten their everlasting joy.",For Mature Audiences.,movie,2023/6/2,2h37m41s,Action & Adventure Films,Drama Films,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,,,
Ramachari,tt5991576,2013,A clumsy sleuth who dreams of joining the police force gets a chance to prove himself after stumbling into a complex plot to assassinate a politician.,Parents strongly cautioned. May not be suitable for ages under 14.,movie,2023/6/2,2h12m29s,,,,,,,,,,,,,,,,,,,,,,
Attarintiki Daredi,tt3042926,2013,A young heir to a powerful business dynasty returns to India from Milan in an action-packed quest to reunite his estranged aunt with his grandfather.,Parents strongly cautioned. May not be suitable for ages under 14.,movie,2023/6/2,2h49m24s,Action & Adventure Films,Comedy Films,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,,,
Rowdy Fellow,tt4087914,2014,"After clashing with an officer, a man joins the police force out of spite. In his new post, he takes on a corrupt and powerful local politician.",For Mature Audiences.,movie,2023/5/5,2h15m19s,Action & Adventure,Dramas,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,,,
Thammudu,tt0240084,1999,The banished son of a respectable family gets the chance to redeem himself when he takes his injured brother's place in a kickboxing tournament.,Parents strongly cautioned. May not be suitable for ages under 14.,movie,2023/5/5,2h48m14s,Romantic Comedies,Dramas,Comedies,Romantic Films,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,
Three (Telugu),tt2123129,2012,"After her husband’s unnatural death, a young widow in search of answers discovers a secret diagnosis and a world of hidden suffering and sacrifice.",Parents strongly cautioned. May not be suitable for ages under 14.,movie,2023/5/5,2h26m41s,Dramas,Romantic Films,Tamil-language Films,Indian,,,,,,,,,,,,,,,,,,
Yogi,tt0887793,2007,"Eager to earn money for his widowed mother, a devoted son heads to the big city where a violent encounter turns him into a vigilante bent on justice.",For Mature Audiences.,movie,2023/5/5,2h33m27s,,,,,,,,,,,,,,,,,,,,,,
Amrutham Chandamamalo,tt6854376,2014,When the opportunity arises to colonize the moon — and expand their business — self-made billionaires Amrutham and Anji become unwitting adventurers.,Parents strongly cautioned. May not be suitable for ages under 14.,movie,2023/5/5,2h18m41s,,,,,,,,,,,,,,,,,,,,,,
It's Us,tt1396484,2013,"When rumors and stereotypes dangerously disrupt a harmonious Kenyan community, residents must decide whether to succumb to turmoil — or rise above it.",Not suitable for ages under 16,movie,2023/4/28,1h29m26s,African Films,Social Issue Dramas,Dramas,Films Based on a Play,,,,,,,,,,,,,,,,,,
Yizo Yizo,tt0421485,1999,"Students and teachers at a troubled high school grapple with violence, corruption and anarchy as they attempt to put education first.",Recommended for ages 13 and up,series,2023/4/21,,Drama Programmes,Teen Programmes,Youth TV Dramas,South African,,,,,,,,,,,,,,,,,,
Ready,tt1708532,2008,A young man finds romantic misadventure when he tries to help his pal’s girlfriend escape an arranged marriage — and rescues the wrong bride.,Parents strongly cautioned. May not be suitable for ages under 14.,movie,2023/4/21,2h52m41s,Action & Adventure,Romantic Comedies,Comedies,Romantic Films,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,
Satya 2,tt3059106,2013,"An ambitious outsider rapidly climbs the ranks of the underworld, turning a disorganized network of mobsters into a national crime syndicate.",For Mature Audiences.,movie,2023/4/21,2h5m54s,,,,,,,,,,,,,,,,,,,,,,
Kamalatho Naa Prayanam,tt14521116,2014,A 1950s sex worker with dreams of a family wrestles with hope and despair after meeting an idealistic soldier who could give her the life she wants.,Not suitable for ages under 16,movie,2023/4/7,2h19m23s,Dramas,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,,,,
Andala Rakshasi,tt2316756,2012,"Believing her true love has died, a young woman accepts a marriage proposal from a wealthy suitor — but an unexpected event alters their lives forever.",Parents strongly cautioned. May not be suitable for ages under 14.,movie,2023/4/7,2h24m44s,Dramas,Romantic Films,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,,,
Powerpuff Girls: 'Twas The Fight Before Christmas,tt0175058,2003,Princess' naughty plot to trick Santa into granting her wish could ruin Christmas for kids everywhere! Can the Powerpuff Girls help fix things in time?,Designed to be appropriate for all children,movie,2023/4/1,44m7s,Children & Family Films,TV Cartoons,Kids' TV,,,,,,,,,,,,,,,,,,,
The Powerpuff Girls Rule!!!,tt1353183,2008,"Blossom, Bubbles, Buttercup and all the villains of Townsville get swept up in a competition to control a magic key that will let them rule the world.",Designed to be appropriate for all children,movie,2023/4/1,23m1s,Children & Family Films,TV Cartoons,Kids' TV,,,,,,,,,,,,,,,,,,,
The Dreams of Elibidi,tt2179888,2010,"A Nairobi family chooses love and compassion to navigate health, hardship and poverty in this unique blend of stage play, fiction film and documentary.",Recommended for ages 16 and up,movie,2023/3/24,1h14m54s,African Movies,Social Issue Dramas,Dramas,,,,,,,,,,,,,,,,,,,
George Lopez: Why You Crying?,tt6344974,2005,"George Lopez unpacks his experiences growing up in Los Angeles in this special that tackles family dynamics, deep insecurities and many other topics.",Recommended for ages 16 and up,movie,2023/1/25,59m50s,,,,,,,,,,,,,,,,,,,,,,
The Real World,tt0103520,2013,"What happens when people stop being polite and start getting real? In this iconic, long-running reality series, strangers become roommates to find out.",Parents strongly cautioned. May not be suitable for ages under 14.,series,2023/1/20,,Reality TV,,,,,,,,,,,,,,,,,,,,,
Going to Heaven,tt4623222,2015,"Struggling to accept the loss of his mother, a young boy sets out to find his estranged grandmother after discovering her address in a box of keepsakes.",Recommended for ages 7 and up,movie,2023/1/15,1h29m41s,Kids & Family Movies,Dramas,Middle Eastern Movies,Family Dramas,Family Movies,Emirati,,,,,,,,,,,,,,,,
Tiger and Dragon,tt1731947,2005,"A young yakuza thug apprentices with an indebted comic ""rakugo"" performer, who's not-so-fashionable son runs a clothes shop in the Harajuku backstreets.",Recommended for ages 13 and up,series,2023/1/9,,Comedy Programmes,Drama Programmes,Crime Programmes,Japanese TV Series,Japanese,,,,,,,,,,,,,,,,,
Ikebukuro West Gate Park,tt0331389,2003,Makoto navigates life on the rough and lively streets of Ikebukuro while trying to solve the brutal murder of a close friend.,Recommended for ages 16 and up,series,2023/1/1,,Mystery Programmes,Action & Adventure Programmes,Drama Programmes,Crime Programmes,TV Programmes Based on Books,Social Issue TV Dramas,Japanese TV Series,Japanese,,,,,,,,,,,,,,
Pravarakyudu,tt1579669,2009,"A professor tries to win back his ex-girlfriend, but when she rejects him, he does the only thing he can — gets a job at the college where she works.",Parents strongly cautioned. May not be suitable for ages under 14.,movie,2022/12/30,2h33m37s,,,,,,,,,,,,,,,,,,,,,,
Shirdi Sai,tt2397561,2012,"After finding enlightenment in the Himalayas, a young man returns home to become a legendary spiritual leader in this stylized biography of Sai Baba.",Parental Guidance suggested,movie,2022/12/30,2h21m26s,Dramas,Period Pieces,Musicals,Faith & Spirituality,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,
Parugu,tt1198349,2008,"When his eldest daughter elopes to avoid an arranged marriage, Neelakantam searches for her by tracking down the friends that helped her pull it off.",Parents strongly cautioned. May not be suitable for ages under 14.,movie,2022/12/28,2h45m33s,Romantic Comedies,Dramas,Comedies,Romantic Films,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,
Seethamma Vakitlo Sirimalle Chettu,tt2198161,2013,"When a rift occurs between them, two radically different brothers must work together to restore their family's image and find their way in life and love.",Parental Guidance suggested,movie,2022/12/28,2h38m4s,Social Issue Dramas,Dramas,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,,,
Sri Rama Rajyam,tt1783377,2011,"In a retelling of the “Ramayana,” Rama's exiled wife Sita gives birth to twins Lava and Kusha, who leave home to uncover the truth about their father.",Suitable for General Audiences,movie,2022/12/28,2h51m54s,Dramas,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,,,,
Yevadu,tt2211173,2014,"Left for dead in a burning bus after gangsters murder his girlfriend, a young man wakes from a coma with a new face, and a hunger for vengeance.",For Mature Audiences.,movie,2022/12/28,2h45m,,,,,,,,,,,,,,,,,,,,,,
Oohalu Gusagusalade,tt3835608,2014,"When given a bizarre opportunity to get the job of his dreams, an aspiring TV news anchor must decide between his career and the love of his life.",Parents strongly cautioned. May not be suitable for ages under 14.,movie,2022/12/23,2h10m47s,Romantic Comedies,Comedies,Romantic Films,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,,
Dongala Muta,tt1860215,2011,"After their car breaks down, a couple checks into a roadside hotel, where they are held hostage and must fight to escape.",Parents strongly cautioned. May not be suitable for ages under 14.,movie,2022/12/23,1h29m24s,Thrillers,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,,,,
Dikkulu Choodaku Ramayya,tt6491318,2014,"Unfulfilled and lonely, a married man falls in love with his aerobics instructor — only to discover his adult son has a crush on the same woman.",Parents strongly cautioned. May not be suitable for ages under 14.,movie,2022/12/23,2h23m19s,Comedies,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,,,,
Anukokunda Oka Roju,tt0473604,2005,"After waking up with no memory of the day before, an aspiring playback singer races to find out what happened and why people are trying to kill her.",Parents strongly cautioned. May not be suitable for ages under 14.,movie,2022/12/23,2h29m54s,Action & Adventure,Mysteries,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,,,
The Hills,tt0489598,2010,"Everything is bigger in L.A. for a group of young women juggling their careers, relationships and all kinds of drama in this ""Laguna Beach"" spinoff.",Parental Guidance suggested,series,2022/12/16,,Reality TV,Teen Programmes,Lifestyle,,,,,,,,,,,,,,,,,,,
Eega,tt2258337,2012,A murdered man reborn as a housefly seeks revenge on the jealous businessman who killed him — and a chance to reunite with the love of his life.,Parents strongly cautioned. May not be suitable for ages under 14.,movie,2022/12/16,2h13m1s,Action & Adventure,Romantic Comedies,Comedies,Romantic Films,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,
Dohchay,tt4463780,2015,"A good-hearted con man needs money to help his family. But after finding a bag full of cash, he'll have to outsmart the dreaded gangster it belongs to.",Parents strongly cautioned. May not be suitable for ages under 14.,movie,2022/12/16,2h16m18s,Action & Adventure,Dramas,Comedies,Telugu-Language Films,Indian,,,,,,,,,,,,,,,,,
Big Brother,tt0251497,2012,"In the ultimate test of strategy and social skills, contestants spend the summer in a house under 24/7 surveillance, vying for a $500,000 prize.",Parents strongly cautioned. May not be suitable for ages under 14.,series,2022/12/2,,Reality TV,Competition Reality TV,,,,,,,,,,,,,,,,,,,,
Basketball Wives,tt1637756,2011,"Glamour, drama, rivalries and love are all part of the game in this reality series following the girlfriends, fiancées and exes of NBA players.",Parents strongly cautioned. May not be suitable for ages under 14.,series,2022/12/1,,Reality TV,,,,,,,,,,,,,,,,,,,,,
Saving My Stupid Youth,tt3912208,2014,Sparks fly when two teachers with a tangled past lead a co-ed class as a part of a proposed merger between an all-boys and all-girls high school.,Recommended for ages 13 and up,series,2022/12/1,,Comedy Programmes,Drama Programmes,Japanese Youth TV Dramas,Japanese TV Series,Japanese,,,,,,,,,,,,,,,,,
Semi-Soet,tt1935881,2012,"To prevent a corporate takeover, a hardworking businesswoman hires a fake fiancé to secure a massive contract from a family-minded wine estate.","Mild Crude Humour, Sexual References",movie,2022/11/27,1h54m22s,African Films,Romantic Comedies,Comedies,Romantic Films,South African,,,,,,,,,,,,,,,,,
Of Good Report,tt2736074,2013,A seemingly mild-mannered high school teacher's forbidden affair with a teenage pupil creates a gruesome situation in this provocative thriller.,Not suitable for ages 16 and under,movie,2022/11/25,1h49m37s,African Films,Crime Films,Dramas,Independent Films,Thrillers,South African,,,,,,,,,,,,,,,,
Soul Boy,tt1585272,2010,A teen determined to recover his father's seemingly missing soul completes seven daunting tasks that take him across his sprawling Nairobi shantytown.,Recommended for ages 13 and up,movie,2022/11/25,57m16s,African Movies,Dramas,Independent Movies,,,,,,,,,,,,,,,,,,,
Laguna Beach,tt0426738,2005,"In affluent Laguna Beach, Calif., a tight-knit group of high school friends juggle romantic relationships, peer pressure and major life decisions.",For Mature Audiences. May not be suitable for ages 17 and under.,series,2022/11/11,,Reality TV,Teen Programmes,,,,,,,,,,,,,,,,,,,,
Something Necessary,tt2400272,2013,"In this drama, a woman rebuilding her life meets a young man seeking redemption in the wake of the civil unrest caused by the 2007 election in Kenya.",Recommended for ages 13 and up,movie,2022/11/11,1h24m57s,African Movies,Social Issue Dramas,Dramas,Independent Movies,,,,,,,,,,,,,,,,,,
The Amazing Race,tt0285335,2005,Teams of two travel around the world competing in challenges and conquering obstacles in the hopes of bringing home a $1 million prize.,Parents strongly cautioned. May not be suitable for ages 14 and under.,series,2022/11/4,,Reality TV,Competition Reality TV,Food & Travel TV,,,,,,,,,,,,,,,,,,,
Nora's Will,tt0158033,2010,"Before committing suicide on the eve of Passover, an ailing Jewish woman sets in motion a carefully calculated plan to reunite her estranged family.",Not recommended for children under 14,movie,2022/11/4,1h31m38s,Dramas,Tearjerkers,Comedies,Mexican,,,,,,,,,,,,,,,,,,
David,tt2358412,2013,"Two men named David leading separate lives find their worlds intertwined in an unlikely story of love, vengeance and destiny.",Parents strongly cautioned. May not be suitable for ages 14 and under.,movie,2022/11/4,1h58m38s,Dramas,Romantic Films,Tamil-language Films,Indian,,,,,,,,,,,,,,,,,,
Key & Peele,tt1935158,2013,"Former ""MADtv"" cast members Keegan-Michael Key and Jordan Peele join forces for this self-titled sketch comedy series that pokes fun at pop culture.",For Mature Audiences. May not be suitable for ages 17 and under.,series,2022/11/1,,Comedy Programmes,,,,,,,,,,,,,,,,,,,,,
Robocar POLI Safety Series,tt4763642,2011,Keep an eye out for danger — the Robocar Poli rescue team is here to protect you and your community from harm at all times!,Recommended for all audiences,series,2022/11/1,,Education for Kids,TV Cartoons,Kids' TV,Korean,,,,,,,,,,,,,,,,,,
Journey to Grace: The Hansie Cronje Story,tt1099200,2008,"After being lured into a notorious match-fixing scandal, champion South African cricket player Hansie Cronje embarks on a journey toward redemption.",Recommended for ages 13 and up,movie,2022/10/1,2h2m19s,African Movies,Sports Movies,Dramas,South African,,,,,,,,,,,,,,,,,,
The Island,tt0399201,2007,"Conflict and corruption plague an insular island in Upper Egypt where one wealthy family rules over the land, trading in drugs and arms.",Recommended for ages 16 and up,movie,2022/9/29,2h23m25s,Action & Adventure,Dramas,Crime Movies,Middle Eastern Movies,Egyptian,,,,,,,,,,,,,,,,,
About Love and Passion,tt1010373,2006,"Omar decides to leave Alia for a more socially acceptable pairing. But when neither finds happiness in a traditional marriage, things escalate.",Recommended for ages 13 and up,movie,2022/9/29,1h43m28s,Dramas,Middle Eastern Movies,Romantic Movies,Egyptian,,,,,,,,,,,,,,,,,,
Katkout,tt1014079,2006,Katkout is about to be sacrificed to end a family vendetta when two government agents step in and send him on a top-secret mission.,Recommended for ages 13 and up,movie,2022/9/23,2h4m22s,Middle Eastern Movies,Comedies,Egyptian,,,,,,,,,,,,,,,,,,,
The Hostage,tt0061782,2006,"A young man travels to Ukraine, looking for new opportunities, but gets caught up in the kidnapping of an Egyptian scientist.",Recommended for ages 13 and up,movie,2022/9/22,1h35m27s,Action & Adventure,Crime Movies,Egyptian,Middle Eastern Movies,,,,,,,,,,,,,,,,,,
Taymour and Shafika,tt5687212,2007,Neighbors and childhood sweethearts Taymour and Shafika's love is put to test when she's appointed to be a minister and he becomes her bodyguard.,Recommended for ages 13 and up,movie,2022/9/22,1h39m15s,Action & Adventure,Romantic Comedies,Middle Eastern Movies,Comedies,Romantic Movies,Egyptian,,,,,,,,,,,,,,,,
The Deal,tt0848281,2012,"Determined to avenge the death of his brother, a police officer pursues a vendetta against a dangerous drug kingpin.",Recommended for ages 13 and up,movie,2022/9/22,1h51m58s,Action & Adventure,Dramas,Crime Movies,Middle Eastern Movies,Egyptian,,,,,,,,,,,,,,,,,
The Ghost,tt0057522,2007,"A young man sets out to find the truth behind a murder and clear his name after he wakes up next to a dead body, unable to remember anything.",Recommended for ages 13 and up,movie,2022/9/22,1h31m8s,Action & Adventure,Crime Movies,Middle Eastern Movies,Egyptian,,,,,,,,,,,,,,,,,,
Transit Prisoner,tt1589484,2008,"To escape a life behind bars, Ali makes a deal with a government general, unaware that one mission is not going to be enough to keep him off the hook.",Recommended for ages 16 and up,movie,2022/9/22,1h47m8s,,,,,,,,,,,,,,,,,,,,,,
Female Cousins,tt6096590,2012,Three young female cousins living with their grandmother pay a steep price for trying to sell the family palace when a curse transforms them into men.,Recommended for ages 13 and up,movie,2022/9/22,1h28m55s,Middle Eastern Movies,Comedies,Egyptian,,,,,,,,,,,,,,,,,,,
Excuse My French,tt3510372,2014,"Assumed to be Muslim like many of his new public school peers, a young boy goes along with the misunderstanding, hoping to blend in with the crowd.",Recommended for ages 13 and up,movie,2022/9/22,1h32m55s,Middle Eastern Movies,Comedies,Egyptian,,,,,,,,,,,,,,,,,,,
Encrypted Letter,tt1972828,2008,A young man and his friends set out for the adventure of a lifetime after he inherits a clue to finding ancient treasures from his grandfather.,Recommended for ages 13 and up,movie,2022/9/22,1h29m14s,Action & Adventure,Dramas,Middle Eastern Movies,Comedies,Mysteries,Egyptian,,,,,,,,,,,,,,,,
Duck Season,tt3174330,2006,What begins as another ordinary Sunday spirals into a chaotic adventure for two teens after an unexpected encounter with an alluring neighbor.,Recommended for ages 16 and up,movie,2022/9/9,1h27m38s,Mexican,Dramas,Comedies,,,,,,,,,,,,,,,,,,,
The lifeguard,tt2265534,2011,"In this documentary, a thoughtful lifeguard on the Chilean coast tries to balance the demands of an often thankless job with his strongly-held beliefs.",Recommended for ages 7 and up,movie,2022/8/19,1h3m42s,Sports Movies,Documentary Films,Chilean,,,,,,,,,,,,,,,,,,,
Italia's War,tt8030030,2005,"After his fiancée is kidnapped and taken to Italy, a disgraced attorney must come up with a plan to rescue her and set things right.",Recommended for ages 13 and up,movie,2022/8/15,1h53m42s,Action & Adventure,Middle Eastern Movies,Romantic Movies,Egyptian,,,,,,,,,,,,,,,,,,
Private Alexandria,tt0422708,2005,"A woman accused of her husband's murder hires a young lawyer. As the attorney searches for the real killer, he finds a host of surprises.",Parental Guidance suggested,movie,2022/7/28,1h30m30s,Dramas,Thrillers,Middle-Eastern Films,Mysteries,Egyptian,Crime Movies,,,,,,,,,,,,,,,,
Soldiers in the Camp,tt0404789,2003,"When a man joins the armed forces, he learns that a fellow soldier has a vendetta against him. To escape the avenger, he enters a sham marriage.",Recommended for ages 13 and up,movie,2022/7/28,1h44m55s,Dramas,Comedies,Middle Eastern Movies,Egyptian,,,,,,,,,,,,,,,,,,
The Great Chinese Beans,tt0422265,2004,"A young man can't keep up when his relatives form a smuggling gang, so he escapes to China for a cooking competition, but ends up in big trouble, anyway.",Recommended for ages 13 and up,movie,2022/7/28,1h39m36s,Middle Eastern Movies,Comedies,Egyptian,,,,,,,,,,,,,,,,,,,
Thieves in Thailand,tt0385738,2003,"After a man from Cairo finds out that he has a long-lost brother, he hatches a plan for the two of them to steal an expensive painting from Thailand.",Recommended for ages 7 and up,movie,2022/7/28,1h39m47s,Romantic Comedies,Middle Eastern Movies,Comedies,Romantic Movies,Egyptian,,,,,,,,,,,,,,,,,
First Year of Deception,tt0404397,2004,A pair of con artist friends plan to scam tourists in the Egyptian city of Hurghada. But they soon meet two women who change their lives forever.,Recommended for ages 7 and up,movie,2022/7/28,1h19m52s,Romantic Comedies,Middle Eastern Movies,Comedies,Romantic Movies,Egyptian,,,,,,,,,,,,,,,,,
Booha,tt0478404,2005,"A small-town butcher travels to Cairo to collect his inheritance. Along the way, he meets a charming young woman and her mother.",Recommended for ages 13 and up,movie,2022/7/28,1h46m25s,Middle Eastern Movies,Comedies,Egyptian,,,,,,,,,,,,,,,,,,,
Auntie Faransa,tt0416889,2004,"After two sisters lose their mother, their lives turn upside down when they move in with an aunt who works as a professional mourner.",Recommended for ages 13 and up,movie,2022/7/28,1h41m6s,Middle Eastern Movies,Comedies,Egyptian,,,,,,,,,,,,,,,,,,,
A Natural Born Fool,tt0422319,2004,"To make ends meet ahead of marrying his sweetheart, a man goes into the burglary business with her uncle — but his incompetence gets them into trouble.",Recommended for ages 13 and up,movie,2022/7/28,1h27m41s,Middle Eastern Movies,Comedies,Egyptian,,,,,,,,,,,,,,,,,,,
The House of Dark Secrets,tt4794620,2015,"In this anthology series, a house built in Argentina in the 1920s becomes the only witness to its inhabitants' most sinister secrets for a century.",Recommended for ages 16 and up,series,2022/7/20,,TV Mysteries,TV Dramas,Argentinian,,,,,,,,,,,,,,,,,,,
Tito,tt0417202,2004,"After 16 years in prison for a minor childhood offense, a man returns to his life of crime — but is then offered a chance to start over.",Recommended for ages 16 and up,movie,2022/7/10,1h59m43s,Action & Adventure,Dramas,Crime Movies,Middle Eastern Movies,Egyptian,,,,,,,,,,,,,,,,,
"Chaos, Disorder",tt2379987,2012,"In a deprived Cairo neighborhood where survival is for the fittest, a young woman gets caught in a risky love triangle with two competitive men.",Recommended for ages 16 and up,movie,2022/7/10,1h14m35s,,,,,,,,,,,,,,,,,,,,,,
Sleepless Nights,tt0328349,2012,"This film follows a former militia intelligence officer and the mother of a missing fighter navigating life, pain and loss after the Lebanon Civil War.",Suitable for age 12 or older,movie,2022/7/9,2h8m30s,Documentary Films,Lebanese,Social & Cultural Docs,,,,,,,,,,,,,,,,,,,
The Road,tt0898367,2015,"Tired of Beirut's constant transformation, a young married couple takes a nostalgic road trip to Lebanon's untouched mountains and deserted villages.",Suitable for age 6 or older,movie,2022/7/9,1h34m40s,Dramas,Independent Movies,Lebanese,,,,,,,,,,,,,,,,,,,
Coming Forth by Day,tt2443734,2012,"Days before Egypt's revolution, this film follows 24 hours in the life of a woman in Cairo exhausted from family commitments and yearning for a change.",All Audiences,movie,2022/7/9,1h36m19s,Social Issue Dramas,Dramas,Independent Movies,Egyptian,,,,,,,,,,,,,,,,,,
